Genome,Replicon,plasmid_count,plasmid_total_size,toxin_chromosome,biofilm_chromosome,toxin_plasmid,biofilm_plasmid
GCF_900660735.1,NZ_LR215049.1 chromosome,0,0,1,0,0,0
GCF_900660745.1,NZ_LR215048.1 chromosome,0,0,9,0,0,0
GCF_900660755.1,NZ_LR215050.1 chromosome;NZ_LR215051.1 plasmid,1,9492,3,0,0,0
GCF_900682675.2,NZ_LR215729.2 chromosome,0,0,15,4,0,0
GCF_900683405.1,NZ_LR215967.1 chromosome,0,0,18,0,0,0
GCF_900683475.1,NZ_LR215968.1 chromosome,0,0,20,0,0,0
GCF_900683625.1,NZ_LR215974.1 chromosome,0,0,7,0,0,0
GCF_900683635.1,NZ_LR215973.1 chromosome,0,0,28,0,0,0
GCF_900683725.1,NZ_LR215978.1 chromosome,0,0,18,0,0,0
GCF_900683735.1,NZ_LR215979.1 chromosome,0,0,37,0,0,0
GCF_900683745.1,NZ_LR215980.1 chromosome,0,0,11,0,0,0
GCF_900683755.1,NZ_LR215981.1 chromosome,0,0,31,0,0,0
GCF_900683765.1,NZ_LR215982.1 chromosome,0,0,9,0,0,0
GCF_900683775.1,NZ_LR215983.1 chromosome,0,0,18,0,0,0
GCF_900692935.1,NZ_LR216050.1 chromosome,0,0,33,1,0,0
GCF_900693025.1,NZ_LR216060.1 chromosome,0,0,35,1,0,0
GCF_900693055.1,NZ_LR216065.1 chromosome,0,0,34,1,0,0
GCF_900693075.1,NZ_LR216064.1 chromosome,0,0,35,1,0,0
GCF_900696045.1,NZ_LR216287.1 chromosome,0,0,2,0,0,0
GCF_900698885.1,NZ_LR217705.1 chromosome;NZ_LR217706.1 plasmid,1,26285,1,0,0,0
GCF_900698925.1,NZ_LR217713.1 chromosome;NZ_LR217714.1 plasmid,1,36062,0,0,0,0
GCF_900698935.1,NZ_LR217715.1 chromosome;NZ_LR217716.1 plasmid,1,74083,1,0,0,0
GCF_900698955.1,NZ_LR217720.1 chromosome;NZ_LR217721.1 plasmid,1,33300,1,0,0,0
GCF_900698965.1,NZ_LR217725.1 chromosome;NZ_LR217726.1 plasmid,1,29779,1,0,0,0
GCF_900698985.1,NZ_LR217730.1 chromosome;NZ_LR217731.1 plasmid,1,26513,1,0,0,0
GCF_900698995.1,NZ_LR217735.1 chromosome;NZ_LR217736.1 plasmid,1,27020,1,0,0,0
GCF_900699015.1,NZ_LR217737.1 chromosome;NZ_LR217738.1 plasmid,1,49732,0,0,0,0
GCF_900699165.1,NZ_LR217818.1 chromosome,0,0,85,10,0,0
GCF_900699785.1,NZ_LR535679.1 chromosome,0,0,13,0,0,0
GCF_900747775.1,NZ_LR536430.1 chromosome,0,0,79,9,0,0
GCF_900747785.1,NZ_LR536431.1 chromosome,0,0,69,7,0,0
GCF_900749825.1,NZ_LR536450.1 chromosome;NZ_LR536451.1 plasmid;NZ_LR536452.1 plasmid,2,512660,11,0,7,0
GCF_900795205.1,NZ_LR536843.1 chromosome,0,0,34,1,0,0
GCF_901421925.1,NZ_LR588408.1 chromosome,0,0,42,6,0,0
GCF_901421965.1,NZ_LR588410.1 chromosome,0,0,31,4,0,0
GCF_901421975.1,NZ_LR588407.1 chromosome,0,0,11,0,0,0
GCF_901422025.1,NZ_LR588411.1 chromosome,0,0,25,6,0,0
GCF_901422065.1,NZ_LR588412.1 chromosome,0,0,35,6,0,0
GCF_901446615.2,NZ_OX359235.1 chromosome;NZ_OX359236.1 plasmid,1,145308,10,0,1,0
GCF_901446755.2,NZ_OX335040.1 chromosome;NZ_OX335041.1 plasmid,1,145308,10,0,1,0
GCF_901457615.1,NZ_LR590081.1 chromosome,0,0,42,8,0,0
GCF_901457625.1,NZ_LR590082.1 chromosome,0,0,39,8,0,0
GCF_901457705.2,NZ_LR590083.2 chromosome;NZ_LR699074.1 plasmid,1,119529,30,0,2,0
GCF_901457775.2,NZ_OX359243.1 chromosome;NZ_OX359244.1 plasmid,1,238632,9,0,2,0
GCF_901457785.2,NZ_OX359239.1 chromosome;NZ_OX359240.1 plasmid,1,145308,10,0,1,0
GCF_901457815.2,NZ_OX359237.1 chromosome;NZ_OX359238.1 plasmid,1,203926,16,0,1,0
GCF_901457835.2,NZ_OX359241.1 chromosome;NZ_OX359242.1 plasmid,1,102855,16,0,2,0
GCF_901472405.1,NZ_LR590463.1 chromosome,0,0,36,3,0,0
GCF_901472455.1,NZ_LR590464.1 chromosome,0,0,39,5,0,0
GCF_901472475.1,NZ_LR590466.1 chromosome,0,0,25,0,0,0
GCF_901472485.1,NZ_LR590465.1 chromosome,0,0,10,0,0,0
GCF_901472495.1,NZ_LR590469.1 chromosome,0,0,62,2,0,0
GCF_901472505.1,NZ_LR590468.1 chromosome,0,0,17,1,0,0
GCF_901472525.1,NZ_LR590467.1 chromosome,0,0,19,0,0,0
GCF_901472535.1,NZ_LR590470.1 chromosome,0,0,11,0,0,0
GCF_901472545.1,NZ_LR590473.1 chromosome,0,0,27,2,0,0
GCF_901472565.1,NZ_LR590472.1 chromosome,0,0,25,2,0,0
GCF_901472595.1,NZ_LR590474.1 chromosome,0,0,22,3,0,0
GCF_901482445.1,NZ_LR590477.1 chromosome,0,0,54,0,0,0
GCF_901482545.1,NZ_LR590478.1 chromosome,0,0,11,0,0,0
GCF_901482565.1,NZ_LR590479.1 chromosome,0,0,10,0,0,0
GCF_901482575.1,NZ_LR590480.1 chromosome,0,0,26,0,0,0
GCF_901482605.1,NZ_LR590481.1 chromosome,0,0,14,0,0,0
GCF_901482615.1,NZ_LR590482.1 chromosome,0,0,52,0,0,0
GCF_901482645.1,NZ_LR590483.1 chromosome,0,0,23,0,0,0
GCF_901482695.1,NZ_LR590484.1 chromosome,0,0,12,0,0,0
GCF_901521425.1,NZ_LR590625.1 chromosome,0,0,18,0,0,0
GCF_901538265.1,NZ_LR593886.1 chromosome,0,0,24,0,0,0
GCF_901538355.1,NZ_LR593887.1 chromosome,0,0,42,0,0,0
GCF_901542335.1,NZ_LR594036.1 chromosome,0,0,15,0,0,0
GCF_901542365.1,NZ_LR594034.1 chromosome,0,0,17,0,0,0
GCF_901542435.1,NZ_LR594035.1 chromosome,0,0,13,0,0,0
GCF_901542455.1,NZ_LR594038.1 chromosome,0,0,35,5,0,0
GCF_901542485.1,NZ_LR594037.1 chromosome,0,0,25,0,0,0
GCF_901543175.1,NZ_LR594040.1 chromosome,0,0,26,0,0,0
GCF_901543415.1,NZ_LR594041.1 chromosome,0,0,10,0,0,0
GCF_901543475.1,NZ_LR594042.1 chromosome,0,0,13,0,0,0
GCF_901543605.1,NZ_LR594044.1 chromosome,0,0,8,0,0,0
GCF_901543615.1,NZ_LR594045.1 chromosome,0,0,18,0,0,0
GCF_901543625.1,NZ_LR594043.1 chromosome,0,0,11,0,0,0
GCF_901543725.1,NZ_LR594046.1 chromosome,0,0,16,0,0,0
GCF_901543995.1,NZ_LR594047.1 chromosome,0,0,23,0,0,0
GCF_901544215.1,NZ_LR594048.1 chromosome,0,0,23,0,0,0
GCF_901544385.1,NZ_LR594049.1 chromosome,0,0,7,0,0,0
GCF_901553725.1,NZ_LR594051.1 chromosome,0,0,21,4,0,0
GCF_901553735.1,NZ_LR594050.1 chromosome,0,0,14,0,0,0
GCF_901553755.1,NZ_LR594052.1 chromosome,0,0,14,0,0,0
GCF_901733115.1,NZ_LR595691.1 chromosome;NZ_LR595692.1 plasmid;NZ_LR595693.1 plasmid;NZ_LR595694.1 plasmid,3,152040,76,10,11,0
GCF_901827155.1,NZ_LR594659.1 chromosome;NZ_LR594660.1 plasmid;NZ_LR594661.1 plasmid,2,881317,12,0,3,0
GCF_901827165.1,NZ_LR594666.1 chromosome;NZ_LR594667.1 plasmid;NZ_LR594668.1 plasmid;NZ_LR594669.1 plasmid;NZ_LR594670.1 plasmid,4,1911943,12,0,30,0
GCF_901827175.1,NZ_LR594662.1 chromosome;NZ_LR594663.1 plasmid;NZ_LR594664.1 plasmid;NZ_LR594665.1 plasmid,3,922663,24,0,16,0
GCF_901827185.1,NZ_LR594671.1 chromosome;NZ_LR594672.1 plasmid;NZ_LR594673.1 plasmid;NZ_LR594674.1 plasmid,3,1425590,11,0,12,0
GCF_901827205.1,NZ_LR594675.1 chromosome;NZ_LR594676.1 plasmid;NZ_LR594677.1 plasmid,2,222255,14,0,3,0
GCF_901846895.1,NZ_LR594689.1 chromosome;NZ_LR594690.1 plasmid;NZ_LR594691.1 plasmid;NZ_LR594692.1 plasmid;NZ_LR594693.1 plasmid;NZ_LR594694.1 plasmid,5,1635255,34,0,21,0
GCF_902109485.1,NZ_LR595855.1 chromosome,0,0,40,4,0,0
GCF_902141215.1,NZ_LR595857.1 chromosome,0,0,20,0,0,0
GCF_902141225.1,NZ_LR595858.1 chromosome,0,0,12,0,0,0
GCF_902141795.1,NZ_LR595896.1 chromosome;NZ_LR595897.1 chromosome,0,0,32,0,0,0
GCF_902141815.1,NZ_LR595898.1 chromosome;NZ_LR595899.1 chromosome,0,0,32,0,0,0
GCF_902141835.1,NZ_LR595894.1 chromosome;NZ_LR595895.1 chromosome,0,0,33,0,0,0
GCF_902167875.1,NZ_LR655209.1 chromosome,0,0,11,0,0,0
GCF_902167885.1,NZ_LR655210.1 chromosome,0,0,27,0,0,0
GCF_902172305.2,NZ_LR657304.1 chromosome,0,0,22,9,0,0
GCF_902379005.2,NZ_LR698844.1 chromosome,0,0,23,4,0,0
GCF_902381625.1,NZ_LR698953.1 chromosome,0,0,27,0,0,0
GCF_902381635.1,NZ_LR698954.1 chromosome,0,0,25,0,0,0
GCF_902381645.1,NZ_LR698955.1 chromosome,0,0,39,0,0,0
GCF_902381665.1,NZ_LR698956.1 chromosome,0,0,6,0,0,0
GCF_902381705.1,NZ_LR698961.1 chromosome,0,0,15,0,0,0
GCF_902381745.1,NZ_LR698965.1 chromosome,0,0,11,0,0,0
GCF_902381755.1,NZ_LR698966.1 chromosome,0,0,5,0,0,0
GCF_902381765.1,NZ_LR698967.1 chromosome,0,0,7,0,0,0
GCF_902381775.1,NZ_LR698969.1 chromosome,0,0,11,0,0,0
GCF_902381805.1,NZ_LR698970.1 chromosome,0,0,16,0,0,0
GCF_902381815.1,NZ_LR698972.1 chromosome,0,0,8,0,0,0
GCF_902383905.1,NZ_LR698974.1 chromosome,0,0,1,0,0,0
GCF_902384015.1,NZ_LR698975.1 chromosome,0,0,4,0,0,0
GCF_902385725.1,NZ_LR698976.1 chromosome,0,0,5,0,0,0
GCF_902385735.1,NZ_LR698977.1 chromosome,0,0,6,0,0,0
GCF_902385845.1,NZ_LR698978.1 chromosome,0,0,13,0,0,0
GCF_902385935.1,NZ_LR698979.1 chromosome,0,0,10,0,0,0
GCF_902386045.1,NZ_LR698981.1 chromosome,0,0,15,0,0,0
GCF_902386185.1,NZ_LR698982.1 chromosome,0,0,37,0,0,0
GCF_902386215.1,NZ_LR698983.1 chromosome,0,0,23,2,0,0
GCF_902386365.1,NZ_LR698984.1 chromosome,0,0,16,0,0,0
GCF_902386435.1,NZ_LR698985.1 chromosome,0,0,12,2,0,0
GCF_902386585.1,NZ_LR698986.1 chromosome,0,0,28,0,0,0
GCF_902386615.1,NZ_LR698987.1 chromosome,0,0,43,0,0,0
GCF_902386635.1,NZ_LR698988.1 chromosome,0,0,32,0,0,0
GCF_902386655.1,NZ_LR698989.1 chromosome,0,0,21,0,0,0
GCF_902386715.1,NZ_LR698993.1 chromosome,0,0,7,0,0,0
GCF_902386735.1,NZ_LR698990.1 chromosome,0,0,11,0,0,0
GCF_902386745.1,NZ_LR698992.1 chromosome,0,0,10,3,0,0
GCF_902386775.1,NZ_LR698991.1 chromosome,0,0,16,0,0,0
GCF_902386885.1,NZ_LR698995.1 chromosome,0,0,14,0,0,0
GCF_902386915.1,NZ_LR698997.1 chromosome,0,0,4,0,0,0
GCF_902386945.1,NZ_LR698998.1 chromosome,0,0,13,0,0,0
GCF_902387255.1,NZ_LR699001.1 chromosome,0,0,6,0,0,0
GCF_902387285.1,NZ_LR699000.1 chromosome,0,0,4,0,0,0
GCF_902387355.1,NZ_LR699002.1 chromosome,0,0,9,0,0,0
GCF_902387425.1,NZ_LR699003.1 chromosome,0,0,14,0,0,0
GCF_902387545.1,NZ_LR699004.1 chromosome,0,0,20,0,0,0
GCF_902387635.1,NZ_LR699006.1 chromosome,0,0,44,6,0,0
GCF_902387715.1,NZ_LR699005.1 chromosome,0,0,35,0,0,0
GCF_902387815.1,NZ_LR699008.1 chromosome,0,0,28,4,0,0
GCF_902387845.1,NZ_LR699007.1 chromosome,0,0,28,1,0,0
GCF_902387945.1,NZ_LR699010.1 chromosome,0,0,37,0,0,0
GCF_902387955.1,NZ_LR699011.1 chromosome,0,0,27,0,0,0
GCF_902387975.1,NZ_LR699009.1 chromosome,0,0,51,5,0,0
GCF_902388025.1,NZ_LR699012.1 chromosome,0,0,23,0,0,0
GCF_902388105.1,NZ_LR699014.1 chromosome,0,0,45,5,0,0
GCF_902388175.1,NZ_LR699016.1 chromosome,0,0,9,0,0,0
GCF_902388275.1,NZ_LR699017.1 chromosome,0,0,20,0,0,0
GCF_902459475.1,NZ_LR699114.1 chromosome;NZ_LR699115.1 chromosome;NZ_LR699116.1 plasmid;NZ_LR699117.1 plasmid;NZ_LR699118.1 plasmid,3,189540,12,0,7,0
GCF_902459485.1,NZ_LR699119.1 chromosome;NZ_LR699120.1 chromosome,0,0,8,0,0,0
GCF_902459525.1,NZ_LR699166.1 chromosome,0,0,22,0,0,0
GCF_902459535.1,NZ_LR699553.1 chromosome;NZ_LR699554.1 chromosome;NZ_LR699555.1 plasmid;NZ_LR699556.1 plasmid;NZ_LR699557.1 plasmid,3,362462,27,0,4,0
GCF_902459825.2,NZ_LR699570.1 chromosome,0,0,136,0,0,0
GCF_902502825.2,NZ_LR723670.1 chromosome;NZ_LR723671.1 plasmid;NZ_LR723672.1 plasmid;NZ_LR723673.1 plasmid;NZ_LR723674.1 plasmid,4,693148,24,0,11,0
GCF_902509485.1,NZ_LR735421.1 chromosome;NZ_LR735422.1 plasmid;NZ_LR735423.1 plasmid,2,67036,9,0,2,0
GCF_902509495.1,NZ_LR735429.1 chromosome;NZ_LR735430.1 plasmid,1,15030,13,0,0,0
GCF_902509505.1,NZ_LR735434.1 chromosome;NZ_LR735435.1 plasmid;NZ_LR735436.1 plasmid,2,47197,11,0,1,0
GCF_902509515.1,NZ_LR735437.1 chromosome;NZ_LR735438.1 plasmid;NZ_LR735439.1 plasmid,2,42117,13,0,2,0
GCF_902509525.1,NZ_LR735432.1 chromosome;NZ_LR735433.1 plasmid,1,27310,13,0,0,0
GCF_902509535.1,NZ_LR735440.1 chromosome;NZ_LR735441.1 plasmid;NZ_LR735442.1 plasmid,2,32624,12,0,1,0
GCF_902702745.1,NZ_LR738722.1 chromosome,0,0,17,0,0,0
GCF_902702755.1,NZ_LR738721.1 chromosome,0,0,13,0,0,0
GCF_902702765.1,NZ_LR738723.1 chromosome,0,0,18,0,0,0
GCF_902702775.1,NZ_LR738724.1 chromosome,0,0,24,0,0,0
GCF_902702785.1,NZ_LR738720.1 chromosome,0,0,18,0,0,0
GCF_902702915.1,NZ_LR738849.1 chromosome,0,0,7,0,0,0
GCF_902702935.1,NZ_LR738855.1 chromosome,0,0,11,0,0,0
GCF_902703185.1,NZ_LR739068.1 chromosome,0,0,32,9,0,0
GCF_902703195.1,NZ_LR739069.1 chromosome,0,0,35,10,0,0
GCF_902703215.1,NZ_LR739071.1 chromosome,0,0,25,8,0,0
GCF_902703415.1,NZ_LR740758.1 chromosome;NZ_LR740759.1 plasmid;NZ_LR740760.1 plasmid,2,316153,70,8,20,0
GCF_902705295.2,NZ_LR740776.1 chromosome;NZ_LR740777.2 plasmid,1,133673,59,7,11,0
GCF_902713755.1,NZ_LR744089.1 chromosome,0,0,0,0,0,0
GCF_902723695.1,NZ_LR745042.1 chromosome;NZ_LR745043.1 plasmid;NZ_LR745044.1 plasmid,2,277067,39,6,7,0
GCF_902723705.1,NZ_LR745045.1 chromosome;NZ_LR745046.1 plasmid;NZ_LR745047.1 plasmid,2,327104,39,6,6,0
GCF_902729405.1,NZ_LR746496.1 chromosome,0,0,35,0,0,0
GCF_902806445.1,NZ_LR760298.1 chromosome,0,0,13,0,0,0
GCF_902806995.1,NZ_LR777654.1 chromosome;NZ_LR777655.1 plasmid,1,6320,4,0,0,0
GCF_902807005.1,NZ_LR777658.1 chromosome;NZ_LR777659.1 plasmid,1,6358,4,0,0,0
GCF_902807015.1,NZ_LR777656.1 chromosome;NZ_LR777657.1 plasmid,1,6319,4,0,0,0
GCF_902809765.1,NZ_LR777867.1 chromosome,0,0,13,0,0,0
GCF_902809935.1,NZ_LR778134.1 chromosome,0,0,2,0,0,0
GCF_902810075.1,NZ_LR778135.1 chromosome,0,0,15,0,0,0
GCF_902810275.1,NZ_LR778143.1 chromosome,0,0,89,9,0,0
GCF_902810285.1,NZ_LR778140.1 chromosome,0,0,89,9,0,0
GCF_902810295.1,NZ_LR778141.1 chromosome,0,0,98,9,0,0
GCF_902810305.1,NZ_LR778144.1 chromosome,0,0,87,8,0,0
GCF_902810315.1,NZ_LR778142.1 chromosome,0,0,62,7,0,0
GCF_902810325.1,NZ_LR778145.1 chromosome,0,0,70,9,0,0
GCF_902810335.1,NZ_LR778147.1 chromosome,0,0,79,9,0,0
GCF_902810345.1,NZ_LR778146.1 chromosome,0,0,62,7,0,0
GCF_902810365.1,NZ_LR778149.1 chromosome,0,0,73,9,0,0
GCF_902810375.1,NZ_LR778150.1 chromosome,0,0,74,9,0,0
GCF_902810385.1,NZ_LR778148.1 chromosome,0,0,75,9,0,0
GCF_902810395.1,NZ_LR778152.1 chromosome,0,0,62,7,0,0
GCF_902810405.1,NZ_LR778153.1 chromosome,0,0,73,9,0,0
GCF_902810415.1,NZ_LR778151.1 chromosome,0,0,78,10,0,0
GCF_902810435.1,NZ_LR778174.1 chromosome,0,0,15,0,0,0
GCF_902810445.1,NZ_LR778175.1 chromosome,0,0,6,0,0,0
GCF_902813185.1,NZ_LR778301.1 chromosome;NZ_LR778302.1 plasmid,1,124849,21,0,7,0
GCF_902813195.1,NZ_LR778300.1 chromosome,0,0,6,0,0,0
GCF_902825185.1,NZ_LR782231.1 chromosome,0,0,68,8,0,0
GCF_902825195.1,NZ_LR782233.1 chromosome,0,0,62,8,0,0
GCF_902825205.1,NZ_LR782232.1 chromosome,0,0,71,9,0,0
GCF_902825285.1,NZ_LR782267.1 chromosome,0,0,12,0,0,0
GCF_902827215.1,NZ_LR792628.1 chromosome;NZ_LR792629.1 plasmid;NZ_LR792630.1 plasmid;NZ_LR792631.1 plasmid,3,259613,34,6,6,0
GCF_902827225.1,NZ_LR792632.1 chromosome;NZ_LR792633.1 plasmid,1,5142,4,0,0,0
GCF_902829265.1,NZ_LR792684.1 chromosome,0,0,25,0,0,0
GCF_902829275.1,NZ_LR792683.1 chromosome,0,0,25,0,0,0
GCF_902860225.1,NZ_LR794158.1 chromosome,0,0,0,0,0,0
GCF_902983995.1,NZ_LR796240.1 chromosome,0,0,43,0,0,0
GCF_903064525.1,NZ_LR797830.1 chromosome,0,0,4,0,0,0
GCF_903815225.1,NZ_LR813084.1 chromosome,0,0,42,0,0,0
GCF_903815275.1,NZ_LR813086.1 chromosome,0,0,21,0,0,0
GCF_903884415.1,NZ_LR822006.1 chromosome,0,0,10,0,0,0
GCF_903885985.1,NZ_LR822008.1 chromosome,0,0,14,0,0,0
GCF_903886075.1,NZ_LR822009.1 chromosome,0,0,13,0,0,0
GCF_903886195.1,NZ_LR822011.1 chromosome,0,0,13,0,0,0
GCF_903886205.1,NZ_LR822010.1 chromosome,0,0,11,0,0,0
GCF_903886285.1,NZ_LR822012.1 chromosome,0,0,12,0,0,0
GCF_903886345.1,NZ_LR822013.1 chromosome,0,0,14,0,0,0
GCF_903886385.1,NZ_LR822014.1 chromosome,0,0,12,0,0,0
GCF_903886475.1,NZ_LR822015.1 chromosome;NZ_LR822016.1 plasmid,1,3345,12,0,0,0
GCF_903886505.1,NZ_LR822017.1 chromosome;NZ_LR822018.1 plasmid,1,3823,14,0,0,0
GCF_903886595.1,NZ_LR822020.1 chromosome;NZ_LR822021.1 plasmid;NZ_LR822022.1 plasmid,2,6565,30,0,0,0
GCF_903886635.1,NZ_LR822019.1 chromosome,0,0,5,0,0,0
GCF_903886645.1,NZ_LR822023.1 chromosome;NZ_LR822024.1 plasmid,1,4451,31,0,0,0
GCF_903886745.1,NZ_LR822025.1 chromosome,0,0,28,0,0,0
GCF_903890635.1,NZ_LR822026.1 chromosome,0,0,28,0,0,0
GCF_903890695.1,NZ_LR822027.1 chromosome;NZ_LR822028.1 plasmid,1,4395,30,0,0,0
GCF_903890795.1,NZ_LR822030.1 chromosome,0,0,17,0,0,0
GCF_903890815.1,NZ_LR822029.1 chromosome,0,0,12,0,0,0
GCF_903890825.1,NZ_LR822031.1 chromosome,0,0,11,0,0,0
GCF_903890905.1,NZ_LR822033.1 chromosome,0,0,19,0,0,0
GCF_903890925.1,NZ_LR822034.1 chromosome,0,0,19,0,0,0
GCF_903890945.1,NZ_LR822032.1 chromosome,0,0,25,0,0,0
GCF_903891015.1,NZ_LR822035.1 chromosome,0,0,13,0,0,0
GCF_903891025.1,NZ_LR822036.1 chromosome,0,0,13,0,0,0
GCF_903891105.1,NZ_LR822039.1 chromosome,0,0,11,0,0,0
GCF_903891135.1,NZ_LR822037.1 chromosome;NZ_LR822038.1 plasmid,1,3530,10,0,0,0
GCF_903891195.1,NZ_LR822041.1 chromosome,0,0,11,0,0,0
GCF_903891205.1,NZ_LR822040.1 chromosome,0,0,10,0,0,0
GCF_903891245.1,NZ_LR822042.1 chromosome,0,0,13,0,0,0
GCF_903891305.1,NZ_LR822043.1 chromosome,0,0,12,0,0,0
GCF_903932595.1,NZ_LR822060.1 chromosome,0,0,55,0,0,0
GCF_903932605.1,NZ_LR822061.1 chromosome,0,0,55,0,0,0
GCF_903960675.1,NZ_LR824002.1 chromosome;NZ_LR824003.1 plasmid,1,3345,12,0,0,0
GCF_903969135.1,NZ_LR824569.1 chromosome,0,0,11,0,0,0
GCF_903978195.1,NZ_LR828257.1 chromosome;NZ_LR828258.1 plasmid;NZ_LR828259.1 plasmid;NZ_LR828260.1 plasmid,3,313350,40,0,6,0
GCF_903978225.1,NZ_LR828253.1 chromosome;NZ_LR828254.1 plasmid;NZ_LR828255.1 plasmid;NZ_LR828256.1 plasmid,3,283513,47,0,5,0
GCF_903989455.1,NZ_LR861803.1 chromosome;NZ_LR861804.1 plasmid,1,45241,29,0,2,0
GCF_903989465.1,NZ_LR861805.1 chromosome;NZ_LR861806.1 plasmid,1,17394,25,0,2,0
GCF_903989475.2,NZ_LR861807.1 chromosome,0,0,32,0,0,0
GCF_903989485.1,NZ_LR861808.1 chromosome,0,0,41,9,0,0
GCF_903992995.2,NZ_LR862421.1 chromosome,0,0,42,9,0,0
GCF_903993005.2,NZ_OW970365.1 chromosome;NZ_OW970366.1 plasmid;NZ_OW970367.1 plasmid;NZ_OW970368.1 plasmid;NZ_OW970369.1 plasmid;NZ_OW970370.1 plasmid;NZ_OW970371.1 plasmid;NZ_OW970372.1 plasmid;NZ_OW970373.1 plasmid,8,320271,36,6,15,0
GCF_903993015.2,NZ_OW970540.1 chromosome;NZ_OW970541.1 plasmid;NZ_OW970542.1 plasmid;NZ_OW970543.1 plasmid;NZ_OW970544.1 plasmid;NZ_OW970545.1 plasmid;NZ_OW970546.1 plasmid;NZ_OW970547.1 plasmid,7,311081,37,6,15,0
GCF_903993025.2,NZ_OW970560.1 chromosome;NZ_OW970561.1 plasmid;NZ_OW970562.1 plasmid;NZ_OW970563.1 plasmid;NZ_OW970564.1 plasmid;NZ_OW970565.1 plasmid;NZ_OW970566.1 plasmid;NZ_OW970567.1 plasmid,7,321645,40,6,15,0
GCF_903993035.2,NZ_OW970452.1 chromosome;NZ_OW970453.1 plasmid;NZ_OW970454.1 plasmid;NZ_OW970455.1 plasmid;NZ_OW970456.1 plasmid;NZ_OW970457.1 plasmid;NZ_OW970458.1 plasmid;NZ_OW970459.1 plasmid,7,311248,36,6,15,0
GCF_903993055.2,NZ_OW970413.1 chromosome;NZ_OW970414.1 plasmid;NZ_OW970415.1 plasmid;NZ_OW970416.1 plasmid;NZ_OW970417.1 plasmid;NZ_OW970418.1 plasmid;NZ_OW970419.1 plasmid;NZ_OW970420.1 plasmid;NZ_OW970421.1 plasmid,8,325916,35,6,15,0
GCF_903993065.2,NZ_OW970374.1 chromosome;NZ_OW970375.1 plasmid;NZ_OW970376.1 plasmid;NZ_OW970377.1 plasmid;NZ_OW970378.1 plasmid;NZ_OW970379.1 plasmid,5,272456,34,6,11,0
GCF_903993085.2,NZ_OW970478.1 chromosome;NZ_OW970479.1 plasmid;NZ_OW970480.1 plasmid;NZ_OW970481.1 plasmid;NZ_OW970482.1 plasmid;NZ_OW970483.1 plasmid;NZ_OW970484.1 plasmid;NZ_OW970485.1 plasmid,7,288432,37,6,15,0
GCF_903993095.2,NZ_OW970422.1 chromosome;NZ_OW970423.1 plasmid;NZ_OW970424.1 plasmid;NZ_OW970425.1 plasmid;NZ_OW970426.1 plasmid;NZ_OW970427.1 plasmid;NZ_OW970428.1 plasmid,6,255928,37,6,13,0
GCF_903993105.2,NZ_OW970436.1 chromosome;NZ_OW970437.1 plasmid;NZ_OW970438.1 plasmid;NZ_OW970439.1 plasmid;NZ_OW970440.1 plasmid;NZ_OW970441.1 plasmid;NZ_OW970442.1 plasmid;NZ_OW970443.1 plasmid,7,320497,37,6,15,0
GCF_903993115.2,NZ_OW970514.1 chromosome;NZ_OW970515.1 plasmid;NZ_OW970516.1 plasmid;NZ_OW970517.1 plasmid;NZ_OW970518.1 plasmid;NZ_OW970519.1 plasmid;NZ_OW970520.1 plasmid;NZ_OW970521.1 plasmid,7,289661,37,6,15,0
GCF_903993145.2,NZ_OW970492.1 chromosome;NZ_OW970493.1 plasmid;NZ_OW970494.1 plasmid;NZ_OW970495.1 plasmid;NZ_OW970496.1 plasmid;NZ_OW970497.1 plasmid;NZ_OW970498.1 plasmid;NZ_OW970499.1 plasmid;NZ_OW970500.1 plasmid,8,325916,35,6,15,0
GCF_903993155.2,NZ_OW970357.1 chromosome;NZ_OW970358.1 plasmid;NZ_OW970359.1 plasmid;NZ_OW970360.1 plasmid;NZ_OW970361.1 plasmid;NZ_OW970362.1 plasmid;NZ_OW970363.1 plasmid;NZ_OW970364.1 plasmid,7,312911,37,6,15,0
GCF_903993165.2,NZ_OW970486.1 chromosome;NZ_OW970487.1 plasmid;NZ_OW970488.1 plasmid;NZ_OW970489.1 plasmid;NZ_OW970490.1 plasmid;NZ_OW970491.1 plasmid,5,255087,36,6,9,0
GCF_903993185.2,NZ_OW970553.1 chromosome;NZ_OW970554.1 plasmid;NZ_OW970555.1 plasmid;NZ_OW970556.1 plasmid;NZ_OW970557.1 plasmid;NZ_OW970558.1 plasmid;NZ_OW970559.1 plasmid,6,312210,37,6,15,0
GCF_903993205.2,NZ_OW970444.1 chromosome;NZ_OW970445.1 plasmid;NZ_OW970446.1 plasmid;NZ_OW970447.1 plasmid;NZ_OW970448.1 plasmid;NZ_OW970449.1 plasmid;NZ_OW970450.1 plasmid;NZ_OW970451.1 plasmid,7,272506,33,6,11,0
GCF_903993215.2,NZ_OW970530.1 chromosome;NZ_OW970531.1 plasmid;NZ_OW970532.1 plasmid;NZ_OW970533.1 plasmid;NZ_OW970534.1 plasmid;NZ_OW970535.1 plasmid;NZ_OW970536.1 plasmid;NZ_OW970537.1 plasmid,7,294674,36,6,15,0
GCF_904066025.1,NZ_LR878365.1 chromosome;NZ_LR878366.1 plasmid;NZ_LR878367.1 plasmid,2,303758,57,9,14,1
